number,hhid,region,mpi_status,protected_exposure_5km,protected_exposure_10km,protected_exposure_15km,head_sex,head_age,marital_status,hsize,working_rate,distance_from_nearest_city_km,hfi_2016,elevation_km,slope_o,tourism_exposure,pub_lat_mod
1544,H2360704,Northern,1,0.043689621,0.078106465,0.147324861,1,28,0,6,1,115.3619328,24.61881638,955.1875,1.683541656,0,3.6680887
1545,H2360705,Northern,0,0.069292444,0.106517282,0.111433715,1,33,1,1,1,101.9806181,28.62448311,773.3125,1.104983211,0,3.6034405
1546,H2360801,Northern,1,0.346654677,0.228806838,0.121609985,0,60,0,9,0.2,104.1204928,16.95607948,632.5625,1.270013571,0,3.52507
1548,H2370101,Northern,1,0,0,0.00833746,0,62,0,4,0,73.97495052,23.78189087,1665.0625,2.159506798,0,2.3550103
1549,H2370102,Northern,1,0,0,0.00833746,0,26,0,3,0,73.97495052,23.78189087,1665.0625,2.159506798,0,2.3550103
1550,H2370201,Northern,1,0.06146354,0.075913961,0.063407124,0,74,0,4,0,63.63828623,20.92614365,1135.25,9.401058197,0,2.4723835
1551,H2370301,Northern,1,0.06146354,0.075913961,0.063407124,0,41,1,3,0,63.63828623,20.92614365,1135.25,9.401058197,0,2.4723835
1552,H2370302,Northern,1,0.06146354,0.075913961,0.063407124,1,36,1,2,0,63.63828623,20.92614365,1135.25,9.401058197,0,2.4723835
1553,H2370501,Northern,1,0.06146354,0.075913961,0.063407124,1,58,0,6,0,63.63828623,20.92614365,1135.25,9.401058197,0,2.4723835
1554,H2370701,Northern,1,0.06146354,0.075913961,0.063407124,0,37,0,7,0.5,63.63828623,20.92614365,1135.25,9.401058197,0,2.4723835
1555,H2370801,Northern,1,0,0.006177239,0.035526741,0,44,0,6,0.5,69.78275032,20.26259422,1322.9375,2.927578449,0,2.4092603
1556,H2370802,Northern,1,0.06146354,0.075913961,0.063407124,1,67,1,3,0,63.63828623,20.92614365,1135.25,9.401058197,0,2.4723835
1557,H2370803,Central,0,0.00018088,0.001121793,0.030934696,0,36,0,6,0.5,1.279170597,38.28864288,1173.0625,2.915644646,0,0.31304476
1558,H2370901,Northern,1,0.06146354,0.075913961,0.063407124,0,57,0,6,0,63.63828623,20.92614365,1135.25,9.401058197,0,2.4723835
1559,H2370902,Northern,1,0.06146354,0.075913961,0.063407124,0,26,0,4,0,63.63828623,20.92614365,1135.25,9.401058197,0,2.4723835
1562,H2380101,Northern,1,0.005076623,0.0121219,0.041466603,0,52,0,8,0,67.82340879,26.94882011,1480.75,2.166012287,0,2.4169772
1563,H2380201,Northern,0,0.005076623,0.0121219,0.041466603,1,35,1,3,0,67.82340879,26.94882011,1480.75,2.166012287,0,2.4169772
1564,H2380401,Northern,1,0.056345939,0.067469841,0.055636218,1,36,1,3,0,50.23968952,19.14974976,1402,2.396642447,0,2.5698812
1565,H2380601,Northern,1,0.005076623,0.0121219,0.041466603,0,60,0,5,0,67.82340879,26.94882011,1480.75,2.166012287,0,2.4169772
1566,H2380602,Northern,1,0.005076623,0.0121219,0.041466603,0,23,0,4,0,67.82340879,26.94882011,1480.75,2.166012287,0,2.4169772
1567,H2381001,Northern,0,0.005076623,0.0121219,0.041466603,1,64,1,5,0,67.82340879,26.94882011,1480.75,2.166012287,0,2.4169772
1568,H2381101,Northern,1,0.005076623,0.0121219,0.041466603,0,52,0,4,0,67.82340879,26.94882011,1480.75,2.166012287,0,2.4169772
1569,H2381201,Northern,1,0.005076623,0.0121219,0.041466603,1,71,1,4,0,67.82340879,26.94882011,1480.75,2.166012287,0,2.4169772
1570,H2381301,Northern,1,0.005076623,0.0121219,0.041466603,0,36,0,4,0.5,67.82340879,26.94882011,1480.75,2.166012287,0,2.4169772
1571,H2390101,Northern,1,0.059724814,0.298191875,0.386713738,1,50,1,3,0,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1572,H2390201,Northern,0,0.059724814,0.298191875,0.386713738,0,58,0,7,0,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1574,H2390401,Northern,1,0.059724814,0.298191875,0.386713738,0,39,0,2,0.5,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1575,H2390501,Northern,1,0.059724814,0.298191875,0.386713738,0,35,0,11,0,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1577,H2390601,Northern,1,0.059724814,0.298191875,0.386713738,1,28,1,4,0.5,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1578,H2390701,Northern,1,0.059724814,0.298191875,0.386713738,0,33,1,1,1,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1579,H2390702,Northern,1,0.059724814,0.298191875,0.386713738,1,22,0,2,0,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1580,H2390801,Northern,1,0.059724814,0.298191875,0.386713738,1,35,0,6,0,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1581,H2390901,Northern,0,0.059724814,0.298191875,0.386713738,0,68,0,3,0,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1582,H2390902,Northern,0,0.059724814,0.298191875,0.386713738,0,27,0,5,1,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1583,H2390903,Northern,1,0.059724814,0.298191875,0.386713738,0,30,0,6,1,93.62794739,24.0538578,630.9375,0.531355858,0,2.3568976
1585,H2420201,Northern,1,0.037960023,0.014360782,0.053923411,0,34,0,7,0,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1586,H2420301,Northern,1,0.037960023,0.014360782,0.053923411,0,42,0,9,0.5,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1587,H2420302,Northern,1,0.037960023,0.014360782,0.053923411,0,22,0,2,0.5,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1588,H2420401,Northern,1,0.037960023,0.014360782,0.053923411,0,43,0,10,0,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1589,H2420501,Northern,1,0.153132859,0.10099197,0.088368644,0,48,1,3,0,49.54459395,14.9029417,1230.9375,10.03763771,0,2.58109
1590,H2420502,Northern,1,0.153132859,0.10099197,0.088368644,1,42,1,2,0,49.54459395,14.9029417,1230.9375,10.03763771,0,2.58109
1591,H2420601,Northern,1,0.037960023,0.014360782,0.053923411,0,34,0,8,0,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1592,H2420701,Northern,1,0.037960023,0.014360782,0.053923411,1,68,1,4,0,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1593,H2420801,Northern,1,0.037960023,0.014360782,0.053923411,0,35,0,7,0,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1594,H2420901,Northern,1,0.037960023,0.014360782,0.053923411,0,57,0,7,0,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1595,H2420902,Northern,1,0.193624657,0.104469144,0.093120673,0,24,0,3,0.5,49.19001757,20.92462921,1152.8125,9.943671227,0,2.5887964
1596,H2421001,Northern,1,0.037960023,0.014360782,0.053923411,0,48,0,5,0.5,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1597,H2421002,Northern,1,0.037960023,0.014360782,0.053923411,0,22,0,3,0,56.46750577,19.26549911,1514.6875,3.589710236,0,2.5136268
1598,H2440101,Northern,1,0.067011768,0.065558257,0.060700102,1,48,1,5,0,62.37243328,25.26280785,993.0625,1.406379342,0,2.4944882
1599,H2440102,Northern,1,0.067011768,0.065558257,0.060700102,0,48,0,6,0.25,62.37243328,25.26280785,993.0625,1.406379342,0,2.4944882
1600,H2440301,Northern,1,0.067011768,0.065558257,0.060700102,0,68,0,3,0,62.37243328,25.26280785,993.0625,1.406379342,0,2.4944882
1601,H2440302,Northern,0,0.067011768,0.065558257,0.060700102,0,28,0,3,0,62.37243328,25.26280785,993.0625,1.406379342,0,2.4944882
1602,H2440701,Northern,1,0.067011768,0.065558257,0.060700102,1,50,1,8,0,62.37243328,25.26280785,993.0625,1.406379342,0,2.4944882
1603,H2440801,Northern,0,0.067011768,0.065558257,0.060700102,0,43,1,1,0,62.37243328,25.26280785,993.0625,1.406379342,0,2.4944882
